en_core_web_sm,fr_core_news_sm
i m exercising .,je suis en train de m entrainer .
i m a real man .,je suis un vrai mec .
she s rather clueless .,elle est plutot conne .
i m in the eleventh grade .,je suis en premiere .
he s a comedian .,il est comedien .
i m not sure i want the job .,je ne suis pas certaine de vouloir le poste .
i m sorry that i dragged you into this .,je suis desole de vous avoir entraines la dedans .
i m very happy to be back home .,je suis tres heureux d etre de retour a la maison .
we re still waiting for tom .,nous attendons encore tom .
i m feeling dizzy .,j ai la tete qui tourne .
you re not prepared for what awaits you .,vous n etes pas prepare a ce qui vous attend .
i m not that crazy .,je ne suis pas si dingue .
you re a true friend .,tu es un veritable ami .
she is a real beauty .,elle est une vrai beaute .
you re starting to annoy me .,tu commences a m ennuyer .
i m being patient .,je fais montre de patience .
i m retired .,je suis pensionnee .
she is lacking in common sense .,elle manque de sens commun .
we re going now .,nous y allons maintenant .
you aren t invited .,tu n es pas invite .
i m glad i have a friend like you to confide in .,je suis heureuse d avoir une amie comme toi a qui me confier .
i m sorry you re leaving us .,c est triste que tu doives partir .
you re a survivor .,tu es une survivante .
you re out of touch with reality .,tu n es plus en prise avec la realite .
you re going to turn a lot of heads with that dress .,vous allez tourner bien des tetes avec cette robe .
i m sorry if i embarrassed you .,je suis desolee si je vous ai embarrassees .
i m no quitter .,je n abandonne pas si facilement .
he is not himself today .,il n est pas lui meme aujourd hui .
i m sorry but i already have a boyfriend .,je suis desolee mais j ai deja un mec .
he s the only one who survived .,il est le seul a avoir survecu .
i m very impressed .,je suis fort impressionnee .
i m getting old .,je commence a devenir vieux .
you re very wise .,vous etes fort avisees .
i m the same height as tom is .,j ai la meme taille que tom .
we re satisfied .,nous sommes satisfaits .
you re safe with us .,vous etes en securite avec nous .
i m listening to bjork s latest song .,j ecoute la derniere chanson de bjork .
you re right of course .,vous avez raison bien sur .
you re all right .,vous allez bien .
i m going to jump .,je saute .
you re going to have to pay for the repair .,tu vas devoir payer la reparation .
you re on the wrong road .,tu es sur la mauvaise route .
i m feeling confused .,je me sens confuse .
he s kind of handsome .,il est plutot beau .
i m not sure why tom didn t want to meet mary .,je n ai pas trop compris pourquoi tom ne voulait pas voir marie .
you are blinded by love .,tu es aveugle par l amour .
i m going to do you a favor .,je vais te faire une faveur .
i m free every day but monday .,je suis libre tous les jours sauf le lundi .
we re not doing anything wrong .,nous ne faisons rien de mal .
they re animals .,ce sont des animaux .
he s offered to help .,il a offert son assistance .
i m in love with you and i want to marry you .,je vous aime et je veux vous epouser .
you re going the wrong way . you have to turn round .,vous allez dans la mauvaise direction il vous faut faire demi tour !
you re such an idiot !,quelle idiote vous etes !
i m waiting for lunch .,j attends le dejeuner .
i m not blind .,je ne suis pas aveugle .
i m sure i can persuade tom .,je suis certain de pouvoir persuader tom .
she s nice to me .,elle est sympa avec moi .
i m expecting a letter from her .,j attends une lettre d elle .
you re dangerous .,vous etes dangereuse .
i m here with a friend .,je suis ici avec une amie .
he is acquainted with the custom .,il a connaissance de la tradition .
he is a teacher and novelist .,il est professeur et romancier .
i m not the least bit surprised .,je ne suis pas du tout surpris .
i m sending you a book .,je t envoie un livre .
he is very depressed .,il est tres deprime .
we re involved .,nous sommes impliquees .
you re not a very good liar .,tu n es pas une tres bonne menteuse .
i m tired of doing this .,je suis fatigue de faire ceci .
i m headed back into town .,je suis en route pour retourner en ville .
i m going to leave one night early .,je vais partir une nuit plus tot .
you re annoying .,tu es chiante .
i am engaged to her .,je suis fiance avec elle .
you re all alone .,vous etes toute seule .
he s mine .,il est a moi .
i m not looking for sympathy .,je ne cherche pas la sympathie .
he s addicted to heroin .,il a une assuetude a l heroine .
i m too tired to do anything right now .,je suis trop fatigue pour faire quoi que ce soit a l instant .
i m kind of a loner .,je suis une sorte de solitaire .
we re strong .,nous sommes forts .
you re kind of cute .,vous etes mignonnes dans votre genre .
we re not entirely sure .,nous n en sommes pas entierement surs .
you re not going to like that are you ?,tu ne vas pas aimer cela n est ce pas ?
i m sloshed .,je suis bourre .
i am of the opinion that this is the way to do it .,je pense qu on doit le faire ainsi .
you are not japanese .,vous n etes pas japonais .
you are not our friend .,tu n es pas notre ami .
she s strong willed .,elle est obstinee .
he is in front of the door .,il est devant la porte .
they re willing to talk about the problem .,ils sont disposes a discuter du probleme .
you re in serious danger .,tu es en grave danger .
i m glad no one got hurt .,je suis heureuse que personne n ait ete blesse .
i m going to be home for christmas .,je vais etre a la maison pour noel .
we re here to finish the job .,nous sommes ici pour terminer le travail .
she is used to cooking .,elle a l habitude de faire la cuisine .
they re all the same .,ils sont tous les memes .
i m not ready to retire yet .,je ne suis pas encore pret a prendre ma retraite .
we re going to try to get you full custody .,nous allons essayer de vous obtenir la garde complete .
i m going to bed . good night .,je vais au lit . bonne nuit .
he is said to have made a fortune in oil .,on dit qu il a fait fortune dans le petrole .
you re not as beautiful as you think you are .,tu n es pas aussi belle que tu crois .
you are not at all wrong .,vous n avez pas tort du tout .
i m a trainee .,je suis stagiaire .
they are afraid of death .,ils ont peur de la mort .
he is a man of reason .,c est un homme de raison .
i m not as gullible as you think i am .,je ne suis pas aussi credule que tu le crois .
he is a big prankster .,c est un grand farceur .
you re immature .,tu es immature .
i m clean .,j ai decroche .
i m not wasting my time .,je ne vais pas perdre mon temps .
you re safe as long as you stay here .,tu es en securite aussi longtemps que tu restes ici .
i m asking you to stay .,je te demande de rester .
you re reliable .,vous etes fiables .
he is very learned .,il est tres erudit .
we are cousins .,on est cousins .
he s two years older than mary is .,il a deux ans de plus que mary .
we are fighting an enemy we don t know .,nous luttons contre un ennemi que nous ne connaissons pas .
i m too old for this .,je suis trop vieux pour ca .
you re the only person who can help me now .,tu es la seule personne qui puisse m aider maintenant .
i m direct .,je suis direct .
we re not getting anywhere .,nous n allons nulle part .
i m in good health .,je suis en bonne sante .
i m not alone .,je ne suis pas seule .
she is a reliable person .,c est une personne de confiance .
we are busy men .,nous sommes des hommes occupes .
you re telling lies again .,tu racontes encore des mensonges .
i m not doing anything different .,je ne fais rien de different .
i m sure you re busy .,je suis certain que vous etes occupee .
we re armed .,nous sommes armees .
i m going back home tomorrow .,je vais rentrer a la maison demain .
we re the same .,nous sommes pareilles .
she s been severely traumatized by bullying at school .,elle a ete severement traumatisee par le harcelement a l ecole .
he s waiting for you at home .,il vous attend chez nous .
i m pretty angry .,je suis assez en colere .
i am here .,je suis ici .
you re bossy .,tu joues au chef .
you re not the only woman here .,vous n etes pas la seule femme ici .
i m not a magician .,je ne suis pas magicien .
i m going to the police station .,je vais au commissariat .
i m glad that you can come .,je suis heureux que tu puisses venir .
i m looking for my camera .,je cherche mon appareil photo .
i m not gambling anymore .,je ne joue plus aux jeux de hasard .
you re not as beautiful as you think you are .,vous n etes pas aussi belle que vous pensez .
you re out of sugar .,tu es a court de sucre .
she is a beginner .,elle est novice .
you re german right ?,tu es allemand n est ce pas ?
we re all armed .,nous sommes tous armes .
they re part time employees .,ce sont des employes a temps partiel .
i m finished with you .,j en ai fini avec vous .
she is a beauty .,c est un canon .
you re being silly .,vous etes idiot .
he s a gardener .,il est jardinier .
i m really unhappy about this .,je suis vraiment malheureux a ce sujet .
they re terrified of you .,vous les terrifiez .
i m very sorry i came home so late .,je suis vraiment desole d etre rentre a la maison aussi tard .
you re not helping much .,vous n aidez pas beaucoup .
we re not doing this for the money .,nous ne le faisons pas pour l argent .
she s a lot smarter than she looks .,elle est bien plus intelligente qu elle ne parait .
i m old enough to make my own decisions .,je suis assez grand pour prendre mes propres decisions .
i m finishing my homework .,je finis mes devoirs .
i m looking for a cheap hotel .,je recherche un hotel pas cher .
she isn t lonely now .,elle n est plus seule maintenant .
